state_id,page_id,surface,page_name,state_code,state_name,description,recovery,feature_ids,phases,work_packets,mockup_id,mockup_path,visual_kind,parent_page_id,screen_signature
YL-A-018-S01_LOADING,YL-A-018,ANDROID,首页,LOADING,加载中,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-048|P03-049|P03-050|P03-051|P03-052,P03,P03-W07,YL-A-018-S01_LOADING,ui/mockups/android/YL-A-018/YL-A-018-S01_LOADING.png,PAGE,,9505a4626a3b55ba
YL-A-020-S05_FILTER_ACTIVE,YL-A-020,ANDROID,会话抽屉,FILTER_ACTIVE,搜索结果,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S05_FILTER_ACTIVE,ui/mockups/android/YL-A-020/YL-A-020-S05_FILTER_ACTIVE.png,OVERLAY,YL-A-018,9dcaa643e005328b
YL-A-020-S06_OFFLINE_CACHE,YL-A-020,ANDROID,会话抽屉,OFFLINE_CACHE,离线缓存,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S06_OFFLINE_CACHE,ui/mockups/android/YL-A-020/YL-A-020-S06_OFFLINE_CACHE.png,OVERLAY,YL-A-018,9dcaa643e005328b
YL-A-020-S07_NETWORK_ERROR,YL-A-020,ANDROID,会话抽屉,NETWORK_ERROR,网络不可用,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S07_NETWORK_ERROR,ui/mockups/android/YL-A-020/YL-A-020-S07_NETWORK_ERROR.png,OVERLAY,YL-A-018,9dcaa643e005328b
YL-A-020-S08_SERVER_ERROR,YL-A-020,ANDROID,会话抽屉,SERVER_ERROR,暂时无法加载,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S08_SERVER_ERROR,ui/mockups/android/YL-A-020/YL-A-020-S08_SERVER_ERROR.png,OVERLAY,YL-A-018,9dcaa643e005328b
YL-A-020-S09_PERMISSION_DENIED,YL-A-020,ANDROID,会话抽屉,PERMISSION_DENIED,登录失效,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S09_PERMISSION_DENIED,ui/mockups/android/YL-A-020/YL-A-020-S09_PERMISSION_DENIED.png,OVERLAY,YL-A-018,9dcaa643e005328b
YL-A-023-S01_DEFAULT,YL-A-023,ANDROID,会话页,DEFAULT,空白会话,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S01_DEFAULT,ui/mockups/android/YL-A-023/YL-A-023-S01_DEFAULT.png,PAGE,,d54a37fe83ef7061
YL-A-023-S02_INPUT_FOCUSED,YL-A-023,ANDROID,会话页,INPUT_FOCUSED,输入中,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S02_INPUT_FOCUSED,ui/mockups/android/YL-A-023/YL-A-023-S02_INPUT_FOCUSED.png,PAGE,,d54a37fe83ef7061
YL-A-023-S03_UPLOADING,YL-A-023,ANDROID,会话页,UPLOADING,附件已加入,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S03_UPLOADING,ui/mockups/android/YL-A-023/YL-A-023-S03_UPLOADING.png,PAGE,,d54a37fe83ef7061
YL-A-023-S04_CONNECTING,YL-A-023,ANDROID,会话页,CONNECTING,正在思考,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S04_CONNECTING,ui/mockups/android/YL-A-023/YL-A-023-S04_CONNECTING.png,PAGE,,d54a37fe83ef7061
YL-A-023-S05_STREAMING,YL-A-023,ANDROID,会话页,STREAMING,正在生成,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S05_STREAMING,ui/mockups/android/YL-A-023/YL-A-023-S05_STREAMING.png,PAGE,,d54a37fe83ef7061
YL-A-023-S06_TOOL_RUNNING,YL-A-023,ANDROID,会话页,TOOL_RUNNING,正在使用工具,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S06_TOOL_RUNNING,ui/mockups/android/YL-A-023/YL-A-023-S06_TOOL_RUNNING.png,PAGE,,d54a37fe83ef7061
YL-A-023-S07_COMPLETED,YL-A-023,ANDROID,会话页,COMPLETED,回答完成,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S07_COMPLETED,ui/mockups/android/YL-A-023/YL-A-023-S07_COMPLETED.png,PAGE,,d54a37fe83ef7061
YL-A-023-S08_STOPPED,YL-A-023,ANDROID,会话页,STOPPED,已停止,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S08_STOPPED,ui/mockups/android/YL-A-023/YL-A-023-S08_STOPPED.png,PAGE,,d54a37fe83ef7061
YL-A-023-S09_RECONNECTING,YL-A-023,ANDROID,会话页,RECONNECTING,正在恢复连接,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S09_RECONNECTING,ui/mockups/android/YL-A-023/YL-A-023-S09_RECONNECTING.png,PAGE,,d54a37fe83ef7061
YL-A-023-S10_OFFLINE,YL-A-023,ANDROID,会话页,OFFLINE,网络不可用,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S10_OFFLINE,ui/mockups/android/YL-A-023/YL-A-023-S10_OFFLINE.png,PAGE,,d54a37fe83ef7061
YL-A-023-S11_RATE_LIMITED,YL-A-023,ANDROID,会话页,RATE_LIMITED,请求较多,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S11_RATE_LIMITED,ui/mockups/android/YL-A-023/YL-A-023-S11_RATE_LIMITED.png,PAGE,,d54a37fe83ef7061
YL-A-023-S12_PROVIDER_ERROR,YL-A-023,ANDROID,会话页,PROVIDER_ERROR,回答失败,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S12_PROVIDER_ERROR,ui/mockups/android/YL-A-023/YL-A-023-S12_PROVIDER_ERROR.png,PAGE,,d54a37fe83ef7061
YL-A-023-S13_CONTENT_BLOCKED,YL-A-023,ANDROID,会话页,CONTENT_BLOCKED,请求无法处理,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-036|P03-037|P03-038|P03-039|P03-040|P03-041|P03-042|P03-043|P03-044|P03-047|P03-053|P03-054,P03,P03-W06|P03-W07|P03-W08,YL-A-023-S13_CONTENT_BLOCKED,ui/mockups/android/YL-A-023/YL-A-023-S13_CONTENT_BLOCKED.png,PAGE,,d54a37fe83ef7061
YL-A-024-S01_DEFAULT,YL-A-024,ANDROID,会话输入区,DEFAULT,默认,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-011|P03-049|P03-050,P03,P03-W07,YL-A-024-S01_DEFAULT,ui/mockups/android/YL-A-024/YL-A-024-S01_DEFAULT.png,COMPONENT_BOARD,YL-A-023,5bb9118999d527f8
YL-A-024-S02_INPUT_FOCUSED,YL-A-024,ANDROID,会话输入区,INPUT_FOCUSED,输入聚焦,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-011|P03-049|P03-050,P03,P03-W07,YL-A-024-S02_INPUT_FOCUSED,ui/mockups/android/YL-A-024/YL-A-024-S02_INPUT_FOCUSED.png,COMPONENT_BOARD,YL-A-023,5bb9118999d527f8
YL-A-024-S03_UPLOADING,YL-A-024,ANDROID,会话输入区,UPLOADING,附件上传,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-011|P03-049|P03-050,P03,P03-W07,YL-A-024-S03_UPLOADING,ui/mockups/android/YL-A-024/YL-A-024-S03_UPLOADING.png,COMPONENT_BOARD,YL-A-023,5bb9118999d527f8
YL-A-024-S04_DISABLED,YL-A-024,ANDROID,会话输入区,DISABLED,不可发送,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-011|P03-049|P03-050,P03,P03-W07,YL-A-024-S04_DISABLED,ui/mockups/android/YL-A-024/YL-A-024-S04_DISABLED.png,COMPONENT_BOARD,YL-A-023,5bb9118999d527f8
YL-A-024-S05_OFFLINE,YL-A-024,ANDROID,会话输入区,OFFLINE,离线,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-011|P03-049|P03-050,P03,P03-W07,YL-A-024-S05_OFFLINE,ui/mockups/android/YL-A-024/YL-A-024-S05_OFFLINE.png,COMPONENT_BOARD,YL-A-023,5bb9118999d527f8
YL-A-024-S06_TOOL_TRAY_OPEN,YL-A-024,ANDROID,会话输入区,TOOL_TRAY_OPEN,工具面板展开,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-011|P03-049|P03-050,P03,P03-W07,YL-A-024-S06_TOOL_TRAY_OPEN,ui/mockups/android/YL-A-024/YL-A-024-S06_TOOL_TRAY_OPEN.png,COMPONENT_BOARD,YL-A-023,5bb9118999d527f8
YL-A-026-S01_CONNECTING,YL-A-026,ANDROID,AI 回复,CONNECTING,正在思考,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-018|P03-026|P03-047|P03-051,P03,P03-W07,YL-A-026-S01_CONNECTING,ui/mockups/android/YL-A-026/YL-A-026-S01_CONNECTING.png,COMPONENT_BOARD,YL-A-023,6312db9a26c4eefe
YL-A-026-S02_STREAMING,YL-A-026,ANDROID,AI 回复,STREAMING,流式回答,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-018|P03-026|P03-047|P03-051,P03,P03-W07,YL-A-026-S02_STREAMING,ui/mockups/android/YL-A-026/YL-A-026-S02_STREAMING.png,COMPONENT_BOARD,YL-A-023,6312db9a26c4eefe
YL-A-026-S03_TOOL_RUNNING,YL-A-026,ANDROID,AI 回复,TOOL_RUNNING,工具执行,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-018|P03-026|P03-047|P03-051,P03,P03-W07,YL-A-026-S03_TOOL_RUNNING,ui/mockups/android/YL-A-026/YL-A-026-S03_TOOL_RUNNING.png,COMPONENT_BOARD,YL-A-023,6312db9a26c4eefe
YL-A-026-S04_COMPLETED,YL-A-026,ANDROID,AI 回复,COMPLETED,完成,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-018|P03-026|P03-047|P03-051,P03,P03-W07,YL-A-026-S04_COMPLETED,ui/mockups/android/YL-A-026/YL-A-026-S04_COMPLETED.png,COMPONENT_BOARD,YL-A-023,6312db9a26c4eefe
YL-A-026-S05_STOPPED,YL-A-026,ANDROID,AI 回复,STOPPED,已停止,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-018|P03-026|P03-047|P03-051,P03,P03-W07,YL-A-026-S05_STOPPED,ui/mockups/android/YL-A-026/YL-A-026-S05_STOPPED.png,COMPONENT_BOARD,YL-A-023,6312db9a26c4eefe
YL-A-026-S06_PROVIDER_ERROR,YL-A-026,ANDROID,AI 回复,PROVIDER_ERROR,回答失败,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-018|P03-026|P03-047|P03-051,P03,P03-W07,YL-A-026-S06_PROVIDER_ERROR,ui/mockups/android/YL-A-026/YL-A-026-S06_PROVIDER_ERROR.png,COMPONENT_BOARD,YL-A-023,6312db9a26c4eefe
YL-A-026-S07_CONTENT_BLOCKED,YL-A-026,ANDROID,AI 回复,CONTENT_BLOCKED,请求无法处理,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-018|P03-026|P03-047|P03-051,P03,P03-W07,YL-A-026-S07_CONTENT_BLOCKED,ui/mockups/android/YL-A-026/YL-A-026-S07_CONTENT_BLOCKED.png,COMPONENT_BOARD,YL-A-023,6312db9a26c4eefe
YL-A-033-S01_POPULATED,YL-A-033,ANDROID,模型选择器,POPULATED,可用模型,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-001|P04-002|P04-003|P03-050,P04,P03-W07|P04-W01,YL-A-033-S01_POPULATED,ui/mockups/android/YL-A-033/YL-A-033-S01_POPULATED.png,OVERLAY,YL-A-023,dc3946f565f3581b
YL-A-033-S02_FILTER_ACTIVE,YL-A-033,ANDROID,模型选择器,FILTER_ACTIVE,筛选中,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-001|P04-002|P04-003|P03-050,P04,P03-W07|P04-W01,YL-A-033-S02_FILTER_ACTIVE,ui/mockups/android/YL-A-033/YL-A-033-S02_FILTER_ACTIVE.png,OVERLAY,YL-A-023,dc3946f565f3581b
YL-A-033-S03_EMPTY,YL-A-033,ANDROID,模型选择器,EMPTY,无结果,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-001|P04-002|P04-003|P03-050,P04,P03-W07|P04-W01,YL-A-033-S03_EMPTY,ui/mockups/android/YL-A-033/YL-A-033-S03_EMPTY.png,OVERLAY,YL-A-023,dc3946f565f3581b
YL-A-033-S04_DISABLED,YL-A-033,ANDROID,模型选择器,DISABLED,不可选择,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-001|P04-002|P04-003|P03-050,P04,P03-W07|P04-W01,YL-A-033-S04_DISABLED,ui/mockups/android/YL-A-033/YL-A-033-S04_DISABLED.png,OVERLAY,YL-A-023,dc3946f565f3581b
YL-A-033-S05_SERVICE_DEGRADED,YL-A-033,ANDROID,模型选择器,SERVICE_DEGRADED,部分模型不可用,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-001|P04-002|P04-003|P03-050,P04,P03-W07|P04-W01,YL-A-033-S05_SERVICE_DEGRADED,ui/mockups/android/YL-A-033/YL-A-033-S05_SERVICE_DEGRADED.png,OVERLAY,YL-A-023,dc3946f565f3581b
YL-A-033-S06_SERVER_ERROR,YL-A-033,ANDROID,模型选择器,SERVER_ERROR,暂时无法加载,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-001|P04-002|P04-003|P03-050,P04,P03-W07|P04-W01,YL-A-033-S06_SERVER_ERROR,ui/mockups/android/YL-A-033/YL-A-033-S06_SERVER_ERROR.png,OVERLAY,YL-A-023,dc3946f565f3581b
YL-A-034-S01_POPULATED,YL-A-034,ANDROID,回答方式选择器,POPULATED,自动模式,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-005|P03-050,P04,P03-W07|P04-W01,YL-A-034-S01_POPULATED,ui/mockups/android/YL-A-034/YL-A-034-S01_POPULATED.png,OVERLAY,YL-A-023,195beb56fc46047c
YL-A-034-S02_FILTER_ACTIVE,YL-A-034,ANDROID,回答方式选择器,FILTER_ACTIVE,深度模式,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-005|P03-050,P04,P03-W07|P04-W01,YL-A-034-S02_FILTER_ACTIVE,ui/mockups/android/YL-A-034/YL-A-034-S02_FILTER_ACTIVE.png,OVERLAY,YL-A-023,195beb56fc46047c
YL-A-034-S03_EMPTY,YL-A-034,ANDROID,回答方式选择器,EMPTY,无可调选项,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-005|P03-050,P04,P03-W07|P04-W01,YL-A-034-S03_EMPTY,ui/mockups/android/YL-A-034/YL-A-034-S03_EMPTY.png,OVERLAY,YL-A-023,195beb56fc46047c
YL-A-034-S04_DISABLED,YL-A-034,ANDROID,回答方式选择器,DISABLED,不可调节,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-005|P03-050,P04,P03-W07|P04-W01,YL-A-034-S04_DISABLED,ui/mockups/android/YL-A-034/YL-A-034-S04_DISABLED.png,OVERLAY,YL-A-023,195beb56fc46047c
YL-A-034-S05_SERVICE_DEGRADED,YL-A-034,ANDROID,回答方式选择器,SERVICE_DEGRADED,仅自动可用,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-005|P03-050,P04,P03-W07|P04-W01,YL-A-034-S05_SERVICE_DEGRADED,ui/mockups/android/YL-A-034/YL-A-034-S05_SERVICE_DEGRADED.png,OVERLAY,YL-A-023,195beb56fc46047c
YL-A-034-S06_SERVER_ERROR,YL-A-034,ANDROID,回答方式选择器,SERVER_ERROR,暂时无法加载,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P04-005|P03-050,P04,P03-W07|P04-W01,YL-A-034-S06_SERVER_ERROR,ui/mockups/android/YL-A-034/YL-A-034-S06_SERVER_ERROR.png,OVERLAY,YL-A-023,195beb56fc46047c
YL-M-061-S09_CONTEXT_DEBUG_OPEN,YL-M-061,ADMIN,可观测性/AI运行,CONTEXT_DEBUG_OPEN,上下文诊断抽屉,管理员查看本次上下文组成、裁剪、摘要、模型切换和 continuation 回退；不得展示隐藏思维链。,close_drawer_or_retry,P03-046|P03-055,P03,P03-W08,YL-M-061-S09_CONTEXT_DEBUG_OPEN,ui/mockups/admin/YL-M-061/YL-M-061-S09_CONTEXT_DEBUG_OPEN.png,PAGE,,88a4412a41860d25
