page_id,surface,name,route,layout_profile,state_profile,state_count,feature_ids,phases,primary_phase,work_packets,visual_kind,parent_page_id,visual_template,visual_title,screen_signature,design_system_version,mockup_gate
YL-A-011,ANDROID,注册页/安全验证,android://011,android_auth,auth_security_overlay,8,P02-013,P02,P02,P02-W03,OVERLAY,YL-A-010,security_modal_register,请完成小验证,f7b62916181d72ca,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-012,ANDROID,注册验证码页,android://012,android_auth,auth_otp,11,P02-015,P02,P02,P02-W03,PAGE,YL-A-010,register_otp,验证注册邮箱,e3d2ad3af757352a,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-013,ANDROID,注册完成,android://013,android_splash,auth_success,3,P02-016,P02,P02,P02-W03,PAGE,YL-A-012,register_success,账户已创建,9cbc1574187c34cd,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-014,ANDROID,全局会话,android://014,android_detail,system_session,5,P02-017|P02-018,P02,P02,P02-W04,SYSTEM_OVERLAY,YL-A-001,session_overlay,全局会话状态,174aa3c467c61047,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-015,ANDROID,我的/退出登录,android://015,android_auth,logout_dialog,4,P02-019,P02,P02,P02-W04,OVERLAY,YL-A-086,logout_modal,退出登录,243e4e4daa461751,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-016,ANDROID,我的/登录设备,android://016,android_auth,device_list,7,P02-020|P02-021,P02,P02,P02-W04,PAGE,YL-A-086,devices,登录设备,bf4bdbe7c6acffef,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-017,ANDROID,登录与注册,android://017,android_auth,auth_resilience_board,5,P02-023|P02-025,P02,P02,P02-W05,SYSTEM_STATE_BOARD,,auth_resilience,认证适配与异常状态,6f747fa19d195336,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-018,ANDROID,首页,android://018,android_main_tab,main_tab,7,P03-001,P03,P03,P03-W01,PAGE,,home,AI 首页,d19b8eef33c3a1fb,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-019,ANDROID,首页/新对话,android://019,android_detail,detail,9,P03-002,P03,P03,P03-W01,PAGE,YL-A-018,new_chat_landing,开始新对话,9fc267b163daa39f,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-020,ANDROID,会话抽屉,android://020,android_list,list,9,P03-003,P03,P03,P03-W01,PAGE,YL-A-018,conversation_drawer,会话历史,aa4f015bb7f11d81,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-021,ANDROID,会话搜索,android://021,android_list,list,9,P03-004,P03,P03,P03-W01,PAGE,YL-A-020,conversation_search,搜索会话,1876a9e7a01c4ae6,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-022,ANDROID,会话菜单,android://022,android_sheet,dialog,5,P03-005|P03-006|P03-007|P03-029|P06-007,P03|P06,P03,P03-W01|P03-W05|P06-W02,OVERLAY,YL-A-023,conversation_menu,会话操作,5b26d2b3f999fe93,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-023,ANDROID,会话页,android://023,android_chat,chat,13,P03-009|P03-010|P03-012|P03-013|P03-017|P03-027,P03,P03,P03-W02|P03-W03|P03-W04,PAGE,,chat,YLVEN App 架构讨论,75edd175b81c0189,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-024,ANDROID,会话输入区,android://024,android_chat,component_composer,5,P03-011,P03,P03,P03-W02,COMPONENT_BOARD,YL-A-023,composer,会话输入区组件,6fd4fa3285c8263e,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-025,ANDROID,离线缓存,android://025,android_detail,offline_cache_only,3,P03-016,P03,P03,P03-W03,SYSTEM_STATE_BOARD,YL-A-023,offline_cache,离线缓存,83cf22f6dacc6b3b,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-026,ANDROID,AI 回复,android://026,android_chat,component_response,7,P03-018|P03-026,P03,P03,P03-W03|P03-W04,COMPONENT_BOARD,YL-A-023,ai_response,AI 回复组件,e7ccc090e139b3e1,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-027,ANDROID,AI 回复/代码块,android://027,android_chat,component_code,3,P03-019,P03,P03,P03-W03,COMPONENT_BOARD,YL-A-026,code_block,代码块组件,c7e6c9168ad3100a,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-028,ANDROID,AI 回复/表格,android://028,android_chat,component_table,3,P03-020,P03,P03,P03-W03,COMPONENT_BOARD,YL-A-026,table_block,表格组件,167631ac29509df0,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-029,ANDROID,通用来源引用组件,android://029,android_chat,component_citation,4,P03-021,P03,P03,P03-W03,COMPONENT_BOARD,YL-A-026,citation_block,引用组件,c14bbf0ef3c28977,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-030,ANDROID,消息操作栏,android://030,android_chat,component_actionbar,3,P03-022|P03-023|P03-024|P03-025|P03-030|P04-011,P03|P04,P03,P03-W04|P03-W05|P04-W02,COMPONENT_BOARD,YL-A-026,message_actions,消息操作栏,3e44d81117af1b6c,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-031,ANDROID,新建对话,android://031,android_form,form,8,P03-028,P03,P03,P03-W04,PAGE,YL-A-018,new_conversation_form,新建对话,838b0c5628e7d1b2,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-032,ANDROID,输入框,android://032,android_chat,component_composer,5,P03-031|P03-032,P03,P03,P03-W05,COMPONENT_BOARD,YL-A-024,input_box,输入框组件,f0d8a21838930624,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-033,ANDROID,模型选择器,android://033,android_sheet,selector_content,6,P04-001|P04-002|P04-003,P04,P04,P04-W01,OVERLAY,YL-A-023,model_selector,选择 AI 模型,7d2f682246da6b41,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-034,ANDROID,推理选择器,android://034,android_sheet,selector_content,6,P04-005,P04,P04,P04-W01,OVERLAY,YL-A-023,reasoning_selector,推理强度,c1123b371c4e66c8,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-035,ANDROID,我的/AI设置,android://035,android_settings,settings,8,P04-007|P09-016,P04|P09,P04,P04-W02|P09-W04,PAGE,YL-A-086,ai_settings,AI 设置,267baeee5ce22448,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-036,ANDROID,会话设置,android://036,android_settings,settings,8,P04-008,P04,P04,P04-W02,PAGE,YL-A-023,conversation_settings,会话设置,1cd42cb74ad54108,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-037,ANDROID,输入区模型状态条,android://037,android_chat,component_model_strip,3,P04-009,P04,P04,P04-W02,COMPONENT_BOARD,YL-A-024,model_strip,输入区模型条,01f8b173edd965d9,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-038,ANDROID,AI 回复来源标签,android://038,android_chat,component_model_strip,3,P04-010,P04,P04,P04-W02,COMPONENT_BOARD,YL-A-026,response_label,AI 回复标签,560c2a67edc1280e,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-039,ANDROID,会话分支切换,android://039,android_detail,list,9,P04-013,P04,P04,P04-W03,PAGE,YL-A-023,branch_switcher,会话分支,ca2c786014b5d602,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-040,ANDROID,多模型对比,android://040,android_detail,wizard,8,P04-014,P04,P04,P04-W03,PAGE,YL-A-023,comparison_setup,多模型对比,67d11cc38505e69a,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-041,ANDROID,对比结果,android://041,android_detail,detail,9,P04-015|P04-016|P04-017,P04,P04,P04-W03,PAGE,YL-A-040,comparison_result,对比结果,8696ff80f270f738,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-042,ANDROID,模型错误弹层,android://042,android_sheet,dialog,5,P04-018,P04,P04,P04-W03,OVERLAY,YL-A-023,model_error_modal,模型暂时不可用,0e52321370d0fa55,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-043,ANDROID,我的/服务状态,android://043,android_list,list,9,P04-030|P09-025,P04|P09,P04,P04-W05|P09-W05,PAGE,YL-A-086,service_status,AI 服务状态,1b176135d06143b0,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-044,ANDROID,附件选择器,android://044,android_sheet,selector_content,6,P05-001,P05,P05,P05-W01,OVERLAY,YL-A-024,attachment_selector,添加内容,cfc99913267440cc,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-045,ANDROID,上传进度,android://045,android_job,job,9,P05-002,P05,P05,P05-W01,OVERLAY,YL-A-023,upload_progress,上传文件,3636a3821686daec,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-046,ANDROID,会话/图片附件,android://046,android_detail,component_attachment,4,P05-007,P05,P05,P05-W01,COMPONENT_BOARD,YL-A-023,image_attachment,图片附件组件,ecfaf63deea4678a,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-047,ANDROID,附件卡片,android://047,android_detail,component_attachment,4,P05-013,P05,P05,P05-W02,COMPONENT_BOARD,YL-A-023,file_attachment,文件附件卡片,c3cbd873a51f45da,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-048,ANDROID,资料库选择器,android://048,android_sheet,selector_content,6,P05-014,P05,P05,P05-W03,OVERLAY,YL-A-044,library_selector,从资料库选择,56e82896631773c6,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-049,ANDROID,工作/文件,android://049,android_list,list,9,P05-015,P05,P05,P05-W03,PAGE,YL-A-077,file_library,文件资料库,95866d825684cbc9,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-050,ANDROID,文件搜索,android://050,android_list,list,9,P05-016,P05,P05,P05-W03,PAGE,YL-A-049,file_search,搜索文件,20735db17c3aeaeb,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-051,ANDROID,文件菜单,android://051,android_sheet,dialog,5,P05-017|P05-019,P05,P05,P05-W03,OVERLAY,YL-A-052,file_menu,文件操作,0313ef2f5fc02907,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-052,ANDROID,文件详情,android://052,android_detail,detail,9,P05-018,P05,P05,P05-W03,PAGE,YL-A-049,file_detail,文件详情,216cd3daf9dbc52d,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-053,ANDROID,工作/项目,android://053,android_list,list,9,P06-001,P06,P06,P06-W01,PAGE,YL-A-077,project_list,项目,1d89c299f7d86957,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-054,ANDROID,新建项目,android://054,android_form,form,8,P06-002,P06,P06,P06-W01,PAGE,YL-A-053,project_create,新建项目,ec3df510adca1fd4,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-055,ANDROID,项目详情,android://055,android_detail,detail,9,P06-003,P06,P06,P06-W01,PAGE,YL-A-053,project_detail,YLVEN Android App,96d3fccd96efcb2d,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-056,ANDROID,项目设置,android://056,android_settings,settings,8,P06-004|P06-005,P06,P06,P06-W01,PAGE,YL-A-055,project_settings,项目设置,547c8777bcd7b517,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-057,ANDROID,项目设置/指令,android://057,android_settings,settings,8,P06-006,P06,P06,P06-W02,PAGE,YL-A-055,project_instructions,项目指令,0b5a9046af5531e1,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-058,ANDROID,项目/资料,android://058,android_list,list,9,P06-008|P06-015|P06-016,P06,P06,P06-W02|P06-W03|P06-W04,PAGE,YL-A-055,project_files,项目资料,54def2a4e262cd9c,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-059,ANDROID,作品菜单,android://059,android_sheet,dialog,5,P06-009|P09-004,P06|P09,P06,P06-W02|P09-W01,OVERLAY,YL-A-079,artifact_menu,作品操作,c805ff553084f209,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-060,ANDROID,项目知识引用组件,android://060,android_chat,component_citation,4,P06-014,P06,P06,P06-W03,COMPONENT_BOARD,YL-A-026,project_citation,项目知识引用,45cfce5d491e08fc,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-061,ANDROID,工作/搜索,android://061,android_list,list,9,P06-017,P06,P06,P06-W04,PAGE,YL-A-077,workspace_search,工作区搜索,e3d52fe732358383,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-062,ANDROID,工作/图片,android://062,android_detail,detail,9,P07-001,P07,P07,P07-W01,PAGE,YL-A-077,image_landing,图片工作台,99ad182223d15edd,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-063,ANDROID,图片工作台,android://063,android_wizard,wizard,8,P07-002|P07-003|P07-004|P07-005|P07-006|P07-007|P07-008,P07,P07,P07-W01|P07-W02,PAGE,YL-A-062,image_studio,生成图片,48d1081f6c3e5759,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-064,ANDROID,任务详情,android://064,android_job,job,9,P07-010|P07-011|P07-012,P07,P07,P07-W02,PAGE,YL-A-063,image_job,图片生成任务,0a1cc3b2e43a2165,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-065,ANDROID,图片生成结果,android://065,android_preview,preview,7,P07-015,P07,P07,P07-W03,PAGE,YL-A-064,image_result,图片生成结果,ce1cd1b6671ddcaf,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-066,ANDROID,图片作品详情,android://066,android_detail,preview,7,P07-016|P07-017,P07,P07,P07-W03,PAGE,YL-A-065,image_detail,图片详情,d928d3ecbdfd76ef,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-067,ANDROID,工作/PPT向导,android://067,android_wizard,wizard,8,P08-001,P08,P08,P08-W01,PAGE,YL-A-077,ppt_landing,PPT 工作台,c1c33b4868582636,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-068,ANDROID,PPT向导/基本信息,android://068,android_wizard,wizard,8,P08-002,P08,P08,P08-W01,PAGE,YL-A-067,ppt_basic,PPT 基本信息,35a0e8f94627e984,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-069,ANDROID,PPT向导/资料,android://069,android_wizard,wizard,8,P08-003,P08,P08,P08-W01,PAGE,YL-A-067,ppt_sources,添加参考资料,478eb31029ab9af7,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-070,ANDROID,PPT向导/模板,android://070,android_wizard,wizard,8,P08-004,P08,P08,P08-W01,PAGE,YL-A-067,ppt_template,选择 PPT 模板,841efb4aa6916caf,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-071,ANDROID,PPT向导/大纲,android://071,android_wizard,wizard,8,P08-005,P08,P08,P08-W01,PAGE,YL-A-067,ppt_outline,确认 PPT 大纲,257f3d7c5e5c98ad,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-072,ANDROID,PPT大纲编辑,android://072,android_wizard,wizard,8,P08-006|P08-007,P08,P08,P08-W01,PAGE,YL-A-071,ppt_outline_edit,编辑大纲,6d74db9a0366e2d0,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-073,ANDROID,PPT任务详情,android://073,android_job,job,9,P08-013,P08,P08,P08-W02,PAGE,YL-A-072,ppt_job,PPT 生成任务,090b546345cea9cd,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-074,ANDROID,PPT 预览编辑,android://074,android_preview,preview,7,P08-014|P08-015,P08,P08,P08-W03,PAGE,YL-A-073,ppt_preview,PPT 预览,c09f40dc11767d15,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-075,ANDROID,PPT单页编辑,android://075,android_form,form,8,P08-016|P08-017|P08-018,P08,P08,P08-W03,PAGE,YL-A-074,ppt_slide_edit,编辑第 3 页,7bea2e894c9b9b80,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-076,ANDROID,PPT 作品详情,android://076,android_detail,preview,7,P08-020|P08-021,P08,P08,P08-W04,PAGE,YL-A-074,ppt_detail,PPT 详情,ca2db578910fc388,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-077,ANDROID,工作首页,android://077,android_main_tab,main_tab,7,P09-001,P09,P09,P09-W01,PAGE,,work_home,工作,cdc63752f83f1c3a,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-078,ANDROID,AI 工具目录,android://078,android_main_tab,main_tab,7,P09-002,P09,P09,P09-W01,PAGE,YL-A-077,tool_catalog,AI 工具,fce93be6cca23954,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-079,ANDROID,工作/作品,android://079,android_list,list,9,P09-003,P09,P09,P09-W01,PAGE,YL-A-077,artifact_library,作品,768a217a9a52b880,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-080,ANDROID,工作/任务,android://080,android_job,job,9,P09-005,P09,P09,P09-W01,PAGE,YL-A-077,job_center,任务中心,0298a10efbea93ef,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-081,ANDROID,发现,android://081,android_main_tab,main_tab,7,P09-006,P09,P09,P09-W02,PAGE,,discover_home,发现,a394bfa350011600,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-082,ANDROID,发现/分类,android://082,android_list,list,9,P09-007,P09,P09,P09-W02,PAGE,YL-A-081,discover_category,全部服务,26a0905ff1c79e02,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-083,ANDROID,发现/Prompt模板,android://083,android_list,list,9,P09-008,P09,P09,P09-W02,PAGE,YL-A-081,prompt_templates,Prompt 模板,d17adc6ce7bb30d3,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-084,ANDROID,发现/模型实验室,android://084,android_list,list,9,P09-009,P09,P09,P09-W02,PAGE,YL-A-081,model_lab,模型实验室,921459f16d719332,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-085,ANDROID,发现/公告,android://085,android_list,list,9,P09-010,P09,P09,P09-W02,PAGE,YL-A-081,announcements,公告与更新,1c750b24df13d37d,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-086,ANDROID,我的,android://086,android_main_tab,main_tab,7,P09-012|P09-014,P09,P09,P09-W03,PAGE,,mine,我的,cdc95d3fc1ee8455,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-087,ANDROID,我的/个人资料,android://087,android_settings,settings,8,P09-013,P09,P09,P09-W03,PAGE,YL-A-086,profile,个人资料,2a0dca80bdf352df,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-088,ANDROID,我的/收藏,android://088,android_list,list,9,P09-015,P09,P09,P09-W03,PAGE,YL-A-086,favorites,我的收藏,7f5d64a0a88fef34,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-089,ANDROID,我的/自定义指令,android://089,android_detail,detail,9,P09-017,P09,P09,P09-W04,PAGE,YL-A-086,custom_instructions,自定义指令,fbdc32717e935c00,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-090,ANDROID,我的/个人记忆,android://090,android_settings,settings,8,P09-018,P09,P09,P09-W04,PAGE,YL-A-086,memory,个人记忆,d09221edefc48667,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-091,ANDROID,我的/通知设置,android://091,android_settings,settings,8,P09-019,P09,P09,P09-W04,PAGE,YL-A-086,notifications,通知设置,ac684a86eeae40bc,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-092,ANDROID,我的/外观与语言,android://092,android_settings,settings,8,P09-020,P09,P09,P09-W04,PAGE,YL-A-086,appearance,外观与语言,678e6568c9effb90,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-093,ANDROID,我的/数据与隐私,android://093,android_settings,settings,8,P09-021|P09-022,P09,P09,P09-W05,PAGE,YL-A-086,privacy,数据与隐私,9046b7a6b6a7e894,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-094,ANDROID,我的/检查更新,android://094,android_detail,detail,9,P09-023,P09,P09,P09-W05,PAGE,YL-A-086,app_update,检查更新,d90546bbe1768186,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-095,ANDROID,我的/帮助与反馈,android://095,android_detail,detail,9,P09-024,P09,P09,P09-W05,PAGE,YL-A-086,help,帮助与反馈,859fda08f504fa40,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-096,ANDROID,我的/套餐与会员,android://096,android_detail,finance,10,P10-002,P10,P10,P10-W01,PAGE,YL-A-086,membership,套餐与会员,2a208c0e21a3d8f2,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-097,ANDROID,套餐确认,android://097,android_settings,finance,10,P10-003,P10,P10,P10-W01,PAGE,YL-A-096,plan_confirm,确认订阅,82708712c7396bbe,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-098,ANDROID,我的/钱包,android://098,android_detail,finance,10,P10-009,P10,P10,P10-W02,PAGE,YL-A-086,wallet,钱包,1f95644ec458f796,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
