interaction_id,feature_id,page_id,surface,binding_role,user_action,endpoint_or_event,permission,billing_rule,visual_source,functional_source,status
YL-M-011-C-P00_013-01,P00-013,YL-M-011,ADMIN,ADMIN_CONTROL,建立 NATS JetStream 事件总线,nats://health,authenticated_user,none,approved mockup states for YL-M-011,contracts/feature-map.yaml,PLANNED
YL-M-012-C-P00_014-01,P00-014,YL-M-012,ADMIN,ADMIN_CONTROL,建立 Cloudflare R2 存储适配器,r2://health,authenticated_user,none,approved mockup states for YL-M-012,contracts/feature-map.yaml,PLANNED
YL-M-013-C-P00_015-01,P00-015,YL-M-013,ADMIN,ADMIN_CONTROL,建立 OpenAPI 合同与代码生成,contract://openapi,authenticated_user,none,approved mockup states for YL-M-013,contracts/feature-map.yaml,PLANNED
YL-M-014-C-P00_016-01,P00-016,YL-M-014,ADMIN,ADMIN_CONTROL,建立 Feature Map 机器校验,contract://features,authenticated_user,none,approved mockup states for YL-M-014,contracts/feature-map.yaml,PLANNED
YL-M-015-C-P00_017-01,P00-017,YL-M-015,ADMIN,ADMIN_CONTROL,建立结构化日志、指标与追踪,/internal/metrics,authenticated_user,none,approved mockup states for YL-M-015,contracts/feature-map.yaml,PLANNED
YL-M-016-C-P00_018-01,P00-018,YL-M-016,ADMIN,ADMIN_CONTROL,建立 GitHub Actions 基础 CI,ci://quality,authenticated_user,none,approved mockup states for YL-M-016,contracts/feature-map.yaml,PLANNED
YL-M-017-C-P00_019-01,P00-019,YL-M-017,ADMIN,ADMIN_CONTROL,建立阶段发布与桌面交付脚本,script://release-phase,authenticated_user,none,approved mockup states for YL-M-017,contracts/feature-map.yaml,PLANNED
YL-M-018-C-P00_020-01,P00-020,YL-M-018,ADMIN,ADMIN_CONTROL,探测 Sub2API 文本与流式能力,/admin/v1/probes/sub2api/chat,authenticated_user,none,approved mockup states for YL-M-018,contracts/feature-map.yaml,PLANNED
YL-M-018-C-P00_021-01,P00-021,YL-M-018,ADMIN,ADMIN_CONTROL,探测 Sub2API 视觉、文件与图片能力,/admin/v1/probes/sub2api/multimodal,authenticated_user,none,approved mockup states for YL-M-018,contracts/feature-map.yaml,PLANNED
YL-M-019-C-P00_022-01,P00-022,YL-M-019,ADMIN,ADMIN_CONTROL,建立秘密管理与示例环境文件,secret://inventory,authenticated_user,none,approved mockup states for YL-M-019,contracts/feature-map.yaml,PLANNED
YL-M-020-C-P00_023-01,P00-023,YL-M-020,ADMIN,ADMIN_CONTROL,建立后台 Vue 应用壳和 RBAC 路由,admin://shell,authenticated_user,none,approved mockup states for YL-M-020,contracts/feature-map.yaml,PLANNED
YL-D-001-C-P00_024-01,P00-024,YL-D-001,DEVELOPER,PRIMARY_VISIBLE,建立开发者门户应用壳,developer-web://shell,authenticated_user,none,approved mockup states for YL-D-001,contracts/feature-map.yaml,PLANNED
YL-M-021-C-P00_024-02,P00-024,YL-M-021,ADMIN,ADMIN_CONTROL,建立开发者门户应用壳,developer-web://shell,authenticated_user,none,approved mockup states for YL-M-021,contracts/feature-map.yaml,PLANNED
YL-M-022-C-P01_001-01,P01-001,YL-M-022,ADMIN,ADMIN_CONTROL,标准化邮箱地址并校验格式,/api/v1/auth/email/normalize,authenticated_user,none,approved mockup states for YL-M-022,contracts/feature-map.yaml,PLANNED
YL-M-023-C-P01_002-01,P01-002,YL-M-023,ADMIN,ADMIN_CONTROL,创建注册安全验证挑战,/api/v1/auth/register/challenge,authenticated_user,none,approved mockup states for YL-M-023,contracts/feature-map.yaml,PLANNED
YL-M-024-C-P01_003-01,P01-003,YL-M-024,ADMIN,ADMIN_CONTROL,服务端校验 Turnstile 一次性令牌,/internal/v1/security/turnstile/verify,authenticated_user,none,approved mockup states for YL-M-024,contracts/feature-map.yaml,PLANNED
YL-W-001-C-P01_003-02,P01-003,YL-W-001,WEB,PUBLIC_SUPPORT,服务端校验 Turnstile 一次性令牌,/internal/v1/security/turnstile/verify,authenticated_user,none,approved mockup states for YL-W-001,contracts/feature-map.yaml,PLANNED
YL-M-025-C-P01_004-01,P01-004,YL-M-025,ADMIN,ADMIN_CONTROL,发送注册邮箱验证码,/api/v1/auth/register/otp/send,authenticated_user,none,approved mockup states for YL-M-025,contracts/feature-map.yaml,PLANNED
YL-W-002-C-P01_004-02,P01-004,YL-W-002,WEB,PUBLIC_SUPPORT,发送注册邮箱验证码,/api/v1/auth/register/otp/send,authenticated_user,none,approved mockup states for YL-W-002,contracts/feature-map.yaml,PLANNED
YL-M-026-C-P01_005-01,P01-005,YL-M-026,ADMIN,ADMIN_CONTROL,验证注册邮箱验证码,/api/v1/auth/register/otp/verify,authenticated_user,none,approved mockup states for YL-M-026,contracts/feature-map.yaml,PLANNED
YL-W-002-C-P01_005-02,P01-005,YL-W-002,WEB,PUBLIC_SUPPORT,验证注册邮箱验证码,/api/v1/auth/register/otp/verify,authenticated_user,none,approved mockup states for YL-W-002,contracts/feature-map.yaml,PLANNED
YL-M-027-C-P01_006-01,P01-006,YL-M-027,ADMIN,ADMIN_CONTROL,创建用户并安全哈希密码,/api/v1/auth/register/complete,authenticated_user,none,approved mockup states for YL-M-027,contracts/feature-map.yaml,PLANNED
YL-M-028-C-P01_007-01,P01-007,YL-M-028,ADMIN,ADMIN_CONTROL,防止邮箱重复注册和竞态,domain://identity/email-uniqueness,authenticated_user,none,approved mockup states for YL-M-028,contracts/feature-map.yaml,PLANNED
YL-M-023-C-P01_008-01,P01-008,YL-M-023,ADMIN,ADMIN_CONTROL,创建登录安全验证挑战,/api/v1/auth/login/challenge,authenticated_user,none,approved mockup states for YL-M-023,contracts/feature-map.yaml,PLANNED
YL-M-026-C-P01_009-01,P01-009,YL-M-026,ADMIN,ADMIN_CONTROL,发送登录邮箱验证码并防账号枚举,/api/v1/auth/login/otp/send,authenticated_user,none,approved mockup states for YL-M-026,contracts/feature-map.yaml,PLANNED
YL-M-029-C-P01_010-01,P01-010,YL-M-029,ADMIN,ADMIN_CONTROL,验证登录邮箱验证码,/api/v1/auth/login/otp/verify,authenticated_user,none,approved mockup states for YL-M-029,contracts/feature-map.yaml,PLANNED
YL-M-030-C-P01_011-01,P01-011,YL-M-030,ADMIN,ADMIN_CONTROL,签发访问令牌和轮换刷新令牌,/api/v1/auth/sessions,authenticated_user,none,approved mockup states for YL-M-030,contracts/feature-map.yaml,PLANNED
YL-M-030-C-P01_012-01,P01-012,YL-M-030,ADMIN,ADMIN_CONTROL,刷新登录会话,/api/v1/auth/token/refresh,authenticated_user,none,approved mockup states for YL-M-030,contracts/feature-map.yaml,PLANNED
YL-M-030-C-P01_013-01,P01-013,YL-M-030,ADMIN,ADMIN_CONTROL,退出当前设备,/api/v1/auth/logout,authenticated_user,none,approved mockup states for YL-M-030,contracts/feature-map.yaml,PLANNED
YL-M-031-C-P01_014-01,P01-014,YL-M-031,ADMIN,ADMIN_CONTROL,退出全部设备,/api/v1/auth/logout-all,authenticated_user,none,approved mockup states for YL-M-031,contracts/feature-map.yaml,PLANNED
YL-M-031-C-P01_015-01,P01-015,YL-M-031,ADMIN,ADMIN_CONTROL,查询用户设备和会话,/api/v1/account/devices,authenticated_user,none,approved mockup states for YL-M-031,contracts/feature-map.yaml,PLANNED
YL-M-031-C-P01_016-01,P01-016,YL-M-031,ADMIN,ADMIN_CONTROL,撤销指定设备会话,/api/v1/account/devices/{deviceId}/sessions,authenticated_user,none,approved mockup states for YL-M-031,contracts/feature-map.yaml,PLANNED
YL-M-032-C-P01_017-01,P01-017,YL-M-032,ADMIN,ADMIN_CONTROL,执行认证频率限制与冷却,policy://auth-rate-limit,authenticated_user,none,approved mockup states for YL-M-032,contracts/feature-map.yaml,PLANNED
YL-M-033-C-P01_018-01,P01-018,YL-M-033,ADMIN,ADMIN_CONTROL,记录认证审计和风险事件,event://identity.audit,authenticated_user,none,approved mockup states for YL-M-033,contracts/feature-map.yaml,PLANNED
YL-M-034-C-P01_019-01,P01-019,YL-M-034,ADMIN,ADMIN_CONTROL,管理邮件服务商和发件人,/admin/v1/settings/email,authenticated_user,none,approved mockup states for YL-M-034,contracts/feature-map.yaml,PLANNED
YL-M-035-C-P01_020-01,P01-020,YL-M-035,ADMIN,ADMIN_CONTROL,管理 Turnstile 站点与密钥引用,/admin/v1/settings/turnstile,authenticated_user,none,approved mockup states for YL-M-035,contracts/feature-map.yaml,PLANNED
YL-M-026-C-P01_021-01,P01-021,YL-M-026,ADMIN,ADMIN_CONTROL,管理验证码时效和发送频率,/admin/v1/settings/otp-policy,authenticated_user,none,approved mockup states for YL-M-026,contracts/feature-map.yaml,PLANNED
YL-M-027-C-P01_022-01,P01-022,YL-M-027,ADMIN,ADMIN_CONTROL,查询用户列表和状态,/admin/v1/users,authenticated_user,none,approved mockup states for YL-M-027,contracts/feature-map.yaml,PLANNED
YL-M-036-C-P01_023-01,P01-023,YL-M-036,ADMIN,ADMIN_CONTROL,查询用户详情、身份与设备,/admin/v1/users/{userId},authenticated_user,none,approved mockup states for YL-M-036,contracts/feature-map.yaml,PLANNED
YL-M-027-C-P01_024-01,P01-024,YL-M-027,ADMIN,ADMIN_CONTROL,禁用或恢复用户账号,/admin/v1/users/{userId}/status,authenticated_user,none,approved mockup states for YL-M-027,contracts/feature-map.yaml,PLANNED
YL-M-037-C-P01_025-01,P01-025,YL-M-037,ADMIN,ADMIN_CONTROL,建立管理员角色和细粒度权限,/admin/v1/rbac/roles,authenticated_user,none,approved mockup states for YL-M-037,contracts/feature-map.yaml,PLANNED
YL-M-038-C-P01_026-01,P01-026,YL-M-038,ADMIN,ADMIN_CONTROL,建立后台登录和管理员会话,/admin/v1/auth/login,authenticated_user,none,approved mockup states for YL-M-038,contracts/feature-map.yaml,PLANNED
YL-M-039-C-P01_027-01,P01-027,YL-M-039,ADMIN,ADMIN_CONTROL,建立高风险配置二次确认,/admin/v1/security/step-up,authenticated_user,none,approved mockup states for YL-M-039,contracts/feature-map.yaml,PLANNED
YL-M-040-C-P01_028-01,P01-028,YL-M-040,ADMIN,ADMIN_CONTROL,建立邮箱模板和发送记录,/admin/v1/notifications/email-templates,authenticated_user,none,approved mockup states for YL-M-040,contracts/feature-map.yaml,PLANNED
YL-A-004-C-P02_001-01,P02-001,YL-A-004,ANDROID,PRIMARY_VISIBLE,启动页恢复本地登录状态,/api/v1/account/session,authenticated_user,none,approved mockup states for YL-A-004,contracts/feature-map.yaml,PLANNED
YL-M-030-C-P02_001-02,P02-001,YL-M-030,ADMIN,ADMIN_CONTROL,启动页恢复本地登录状态,/api/v1/account/session,authenticated_user,none,approved mockup states for YL-M-030,contracts/feature-map.yaml,PLANNED
YL-A-005-C-P02_002-01,P02-002,YL-A-005,ANDROID,PRIMARY_VISIBLE,展示邮箱验证码登录页,android://login-screen,authenticated_user,none,approved mockup states for YL-A-005,contracts/feature-map.yaml,PLANNED
YL-M-041-C-P02_002-02,P02-002,YL-M-041,ADMIN,ADMIN_CONTROL,展示邮箱验证码登录页,android://login-screen,authenticated_user,none,approved mockup states for YL-M-041,contracts/feature-map.yaml,PLANNED
YL-A-005-C-P02_003-01,P02-003,YL-A-005,ANDROID,PRIMARY_VISIBLE,校验登录邮箱输入,android://validate-email,authenticated_user,none,approved mockup states for YL-A-005,contracts/feature-map.yaml,PLANNED
YL-A-006-C-P02_004-01,P02-004,YL-A-006,ANDROID,PRIMARY_VISIBLE,弹出登录安全验证对话框,/api/v1/auth/login/challenge,authenticated_user,none,approved mockup states for YL-A-006,contracts/feature-map.yaml,PLANNED
YL-M-023-C-P02_004-02,P02-004,YL-M-023,ADMIN,ADMIN_CONTROL,弹出登录安全验证对话框,/api/v1/auth/login/challenge,authenticated_user,none,approved mockup states for YL-M-023,contracts/feature-map.yaml,PLANNED
YL-A-007-C-P02_005-01,P02-005,YL-A-007,ANDROID,PRIMARY_VISIBLE,在受控 WebView 完成 Turnstile,https://auth.orbexa.cc/security/turnstile,authenticated_user,none,approved mockup states for YL-A-007,contracts/feature-map.yaml,PLANNED
YL-M-024-C-P02_005-02,P02-005,YL-M-024,ADMIN,ADMIN_CONTROL,在受控 WebView 完成 Turnstile,https://auth.orbexa.cc/security/turnstile,authenticated_user,none,approved mockup states for YL-M-024,contracts/feature-map.yaml,PLANNED
YL-W-001-C-P02_005-03,P02-005,YL-W-001,WEB,PUBLIC_SUPPORT,在受控 WebView 完成 Turnstile,https://auth.orbexa.cc/security/turnstile,authenticated_user,none,approved mockup states for YL-W-001,contracts/feature-map.yaml,PLANNED
YL-A-005-C-P02_006-01,P02-006,YL-A-005,ANDROID,PRIMARY_VISIBLE,安全验证后请求登录验证码,/api/v1/auth/login/otp/send,authenticated_user,none,approved mockup states for YL-A-005,contracts/feature-map.yaml,PLANNED
YL-M-026-C-P02_006-02,P02-006,YL-M-026,ADMIN,ADMIN_CONTROL,安全验证后请求登录验证码,/api/v1/auth/login/otp/send,authenticated_user,none,approved mockup states for YL-M-026,contracts/feature-map.yaml,PLANNED
YL-A-008-C-P02_007-01,P02-007,YL-A-008,ANDROID,PRIMARY_VISIBLE,输入六位登录验证码,/api/v1/auth/login/otp/verify,authenticated_user,none,approved mockup states for YL-A-008,contracts/feature-map.yaml,PLANNED
YL-M-029-C-P02_007-02,P02-007,YL-M-029,ADMIN,ADMIN_CONTROL,输入六位登录验证码,/api/v1/auth/login/otp/verify,authenticated_user,none,approved mockup states for YL-M-029,contracts/feature-map.yaml,PLANNED
YL-W-002-C-P02_007-03,P02-007,YL-W-002,WEB,PUBLIC_SUPPORT,输入六位登录验证码,/api/v1/auth/login/otp/verify,authenticated_user,none,approved mockup states for YL-W-002,contracts/feature-map.yaml,PLANNED
YL-A-008-C-P02_008-01,P02-008,YL-A-008,ANDROID,PRIMARY_VISIBLE,显示验证码倒计时和重新发送,/api/v1/auth/login/otp/send,authenticated_user,none,approved mockup states for YL-A-008,contracts/feature-map.yaml,PLANNED
YL-M-026-C-P02_008-02,P02-008,YL-M-026,ADMIN,ADMIN_CONTROL,显示验证码倒计时和重新发送,/api/v1/auth/login/otp/send,authenticated_user,none,approved mockup states for YL-M-026,contracts/feature-map.yaml,PLANNED
YL-A-009-C-P02_009-01,P02-009,YL-A-009,ANDROID,PRIMARY_VISIBLE,登录成功安全保存令牌,/api/v1/auth/sessions,authenticated_user,none,approved mockup states for YL-A-009,contracts/feature-map.yaml,PLANNED
YL-M-030-C-P02_009-02,P02-009,YL-M-030,ADMIN,ADMIN_CONTROL,登录成功安全保存令牌,/api/v1/auth/sessions,authenticated_user,none,approved mockup states for YL-M-030,contracts/feature-map.yaml,PLANNED
YL-A-010-C-P02_010-01,P02-010,YL-A-010,ANDROID,PRIMARY_VISIBLE,展示邮箱密码注册页,android://register-screen,authenticated_user,none,approved mockup states for YL-A-010,contracts/feature-map.yaml,PLANNED
YL-M-042-C-P02_010-02,P02-010,YL-M-042,ADMIN,ADMIN_CONTROL,展示邮箱密码注册页,android://register-screen,authenticated_user,none,approved mockup states for YL-M-042,contracts/feature-map.yaml,PLANNED
YL-A-010-C-P02_011-01,P02-011,YL-A-010,ANDROID,PRIMARY_VISIBLE,实时展示密码强度和规则,/api/v1/auth/password-policy,authenticated_user,none,approved mockup states for YL-A-010,contracts/feature-map.yaml,PLANNED
YL-M-043-C-P02_011-02,P02-011,YL-M-043,ADMIN,ADMIN_CONTROL,实时展示密码强度和规则,/api/v1/auth/password-policy,authenticated_user,none,approved mockup states for YL-M-043,contracts/feature-map.yaml,PLANNED
YL-A-010-C-P02_012-01,P02-012,YL-A-010,ANDROID,PRIMARY_VISIBLE,校验确认密码一致,android://confirm-password,authenticated_user,none,approved mockup states for YL-A-010,contracts/feature-map.yaml,PLANNED
YL-A-011-C-P02_013-01,P02-013,YL-A-011,ANDROID,PRIMARY_VISIBLE,弹出注册安全验证对话框,/api/v1/auth/register/challenge,authenticated_user,none,approved mockup states for YL-A-011,contracts/feature-map.yaml,PLANNED
YL-M-023-C-P02_013-02,P02-013,YL-M-023,ADMIN,ADMIN_CONTROL,弹出注册安全验证对话框,/api/v1/auth/register/challenge,authenticated_user,none,approved mockup states for YL-M-023,contracts/feature-map.yaml,PLANNED
YL-A-010-C-P02_014-01,P02-014,YL-A-010,ANDROID,PRIMARY_VISIBLE,安全验证后请求注册验证码,/api/v1/auth/register/otp/send,authenticated_user,none,approved mockup states for YL-A-010,contracts/feature-map.yaml,PLANNED
YL-M-026-C-P02_014-02,P02-014,YL-M-026,ADMIN,ADMIN_CONTROL,安全验证后请求注册验证码,/api/v1/auth/register/otp/send,authenticated_user,none,approved mockup states for YL-M-026,contracts/feature-map.yaml,PLANNED
YL-A-012-C-P02_015-01,P02-015,YL-A-012,ANDROID,PRIMARY_VISIBLE,验证注册验证码并创建账号,/api/v1/auth/register/complete,authenticated_user,none,approved mockup states for YL-A-012,contracts/feature-map.yaml,PLANNED
YL-M-027-C-P02_015-02,P02-015,YL-M-027,ADMIN,ADMIN_CONTROL,验证注册验证码并创建账号,/api/v1/auth/register/complete,authenticated_user,none,approved mockup states for YL-M-027,contracts/feature-map.yaml,PLANNED
YL-W-002-C-P02_015-03,P02-015,YL-W-002,WEB,PUBLIC_SUPPORT,验证注册验证码并创建账号,/api/v1/auth/register/complete,authenticated_user,none,approved mockup states for YL-W-002,contracts/feature-map.yaml,PLANNED
YL-A-013-C-P02_016-01,P02-016,YL-A-013,ANDROID,PRIMARY_VISIBLE,注册成功自动登录并初始化个人工作区,/api/v1/onboarding/personal-workspace,authenticated_user,none,approved mockup states for YL-A-013,contracts/feature-map.yaml,PLANNED
YL-M-036-C-P02_016-02,P02-016,YL-M-036,ADMIN,ADMIN_CONTROL,注册成功自动登录并初始化个人工作区,/api/v1/onboarding/personal-workspace,authenticated_user,none,approved mockup states for YL-M-036,contracts/feature-map.yaml,PLANNED
YL-A-014-C-P02_017-01,P02-017,YL-A-014,ANDROID,PRIMARY_VISIBLE,令牌过期时自动刷新一次,/api/v1/auth/token/refresh,authenticated_user,none,approved mockup states for YL-A-014,contracts/feature-map.yaml,PLANNED
YL-M-030-C-P02_017-02,P02-017,YL-M-030,ADMIN,ADMIN_CONTROL,令牌过期时自动刷新一次,/api/v1/auth/token/refresh,authenticated_user,none,approved mockup states for YL-M-030,contracts/feature-map.yaml,PLANNED
YL-A-014-C-P02_018-01,P02-018,YL-A-014,ANDROID,PRIMARY_VISIBLE,刷新失败返回登录并保留安全导航,android://session-expired,authenticated_user,none,approved mockup states for YL-A-014,contracts/feature-map.yaml,PLANNED
YL-A-015-C-P02_019-01,P02-019,YL-A-015,ANDROID,PRIMARY_VISIBLE,执行退出登录并清理敏感缓存,/api/v1/auth/logout,authenticated_user,none,approved mockup states for YL-A-015,contracts/feature-map.yaml,PLANNED
YL-M-030-C-P02_019-02,P02-019,YL-M-030,ADMIN,ADMIN_CONTROL,执行退出登录并清理敏感缓存,/api/v1/auth/logout,authenticated_user,none,approved mockup states for YL-M-030,contracts/feature-map.yaml,PLANNED
YL-A-016-C-P02_020-01,P02-020,YL-A-016,ANDROID,PRIMARY_VISIBLE,展示当前账号登录设备,/api/v1/account/devices,authenticated_user,none,approved mockup states for YL-A-016,contracts/feature-map.yaml,PLANNED
YL-M-031-C-P02_020-02,P02-020,YL-M-031,ADMIN,ADMIN_CONTROL,展示当前账号登录设备,/api/v1/account/devices,authenticated_user,none,approved mockup states for YL-M-031,contracts/feature-map.yaml,PLANNED
YL-A-016-C-P02_021-01,P02-021,YL-A-016,ANDROID,PRIMARY_VISIBLE,远程撤销指定设备,/api/v1/account/devices/{deviceId}/sessions,authenticated_user,none,approved mockup states for YL-A-016,contracts/feature-map.yaml,PLANNED
YL-M-031-C-P02_021-02,P02-021,YL-M-031,ADMIN,ADMIN_CONTROL,远程撤销指定设备,/api/v1/account/devices/{deviceId}/sessions,authenticated_user,none,approved mockup states for YL-M-031,contracts/feature-map.yaml,PLANNED
YL-A-007-C-P02_022-01,P02-022,YL-A-007,ANDROID,PRIMARY_VISIBLE,处理安全验证取消、过期和重复令牌,/internal/v1/security/turnstile/verify,authenticated_user,none,approved mockup states for YL-A-007,contracts/feature-map.yaml,PLANNED
YL-M-023-C-P02_022-02,P02-022,YL-M-023,ADMIN,ADMIN_CONTROL,处理安全验证取消、过期和重复令牌,/internal/v1/security/turnstile/verify,authenticated_user,none,approved mockup states for YL-M-023,contracts/feature-map.yaml,PLANNED
YL-W-001-C-P02_022-03,P02-022,YL-W-001,WEB,PUBLIC_SUPPORT,处理安全验证取消、过期和重复令牌,/internal/v1/security/turnstile/verify,authenticated_user,none,approved mockup states for YL-W-001,contracts/feature-map.yaml,PLANNED
YL-A-017-C-P02_023-01,P02-023,YL-A-017,ANDROID,PRIMARY_VISIBLE,处理弱网、离线和请求重试,android://auth-network-recovery,authenticated_user,none,approved mockup states for YL-A-017,contracts/feature-map.yaml,PLANNED
YL-A-008-C-P02_024-01,P02-024,YL-A-008,ANDROID,PRIMARY_VISIBLE,适配验证码键盘、粘贴和自动填充,android://otp-input,authenticated_user,none,approved mockup states for YL-A-008,contracts/feature-map.yaml,PLANNED
YL-A-017-C-P02_025-01,P02-025,YL-A-017,ANDROID,PRIMARY_VISIBLE,完成认证页面无障碍和小屏适配,android://auth-accessibility,authenticated_user,none,approved mockup states for YL-A-017,contracts/feature-map.yaml,PLANNED
YL-M-044-C-P02_026-01,P02-026,YL-M-044,ADMIN,ADMIN_CONTROL,限制 WebView 导航和 JavaScript 桥接面,policy://turnstile-webview,authenticated_user,none,approved mockup states for YL-M-044,contracts/feature-map.yaml,PLANNED
YL-A-018-C-P03_001-01,P03-001,YL-A-018,ANDROID,PRIMARY_VISIBLE,加载 AI 首页聚合数据,/api/mobile/v1/home,authenticated_user,none,approved mockup states for YL-A-018,contracts/feature-map.yaml,PLANNED
YL-M-045-C-P03_001-02,P03-001,YL-M-045,ADMIN,ADMIN_CONTROL,加载 AI 首页聚合数据,/api/mobile/v1/home,authenticated_user,none,approved mockup states for YL-M-045,contracts/feature-map.yaml,PLANNED
YL-A-019-C-P03_002-01,P03-002,YL-A-019,ANDROID,PRIMARY_VISIBLE,新建独立会话 ID,/api/mobile/v1/conversations,authenticated_user,none,approved mockup states for YL-A-019,contracts/feature-map.yaml,PLANNED
YL-M-046-C-P03_002-02,P03-002,YL-M-046,ADMIN,ADMIN_CONTROL,新建独立会话 ID,/api/mobile/v1/conversations,authenticated_user,none,approved mockup states for YL-M-046,contracts/feature-map.yaml,PLANNED
YL-A-020-C-P03_003-01,P03-003,YL-A-020,ANDROID,PRIMARY_VISIBLE,分页加载会话历史,/api/mobile/v1/conversations,authenticated_user,none,approved mockup states for YL-A-020,contracts/feature-map.yaml,PLANNED
YL-M-046-C-P03_003-02,P03-003,YL-M-046,ADMIN,ADMIN_CONTROL,分页加载会话历史,/api/mobile/v1/conversations,authenticated_user,none,approved mockup states for YL-M-046,contracts/feature-map.yaml,PLANNED
YL-A-021-C-P03_004-01,P03-004,YL-A-021,ANDROID,PRIMARY_VISIBLE,搜索会话标题和消息正文,/api/mobile/v1/conversations/search,authenticated_user,none,approved mockup states for YL-A-021,contracts/feature-map.yaml,PLANNED
YL-M-047-C-P03_004-02,P03-004,YL-M-047,ADMIN,ADMIN_CONTROL,搜索会话标题和消息正文,/api/mobile/v1/conversations/search,authenticated_user,none,approved mockup states for YL-M-047,contracts/feature-map.yaml,PLANNED
YL-A-022-C-P03_005-01,P03-005,YL-A-022,ANDROID,PRIMARY_VISIBLE,重命名会话,/api/mobile/v1/conversations/{conversationId},authenticated_user,none,approved mockup states for YL-A-022,contracts/feature-map.yaml,PLANNED
YL-M-048-C-P03_005-02,P03-005,YL-M-048,ADMIN,ADMIN_CONTROL,重命名会话,/api/mobile/v1/conversations/{conversationId},authenticated_user,none,approved mockup states for YL-M-048,contracts/feature-map.yaml,PLANNED
YL-A-022-C-P03_006-01,P03-006,YL-A-022,ANDROID,PRIMARY_VISIBLE,归档会话,/api/mobile/v1/conversations/{conversationId}/archive,authenticated_user,none,approved mockup states for YL-A-022,contracts/feature-map.yaml,PLANNED
YL-M-046-C-P03_006-02,P03-006,YL-M-046,ADMIN,ADMIN_CONTROL,归档会话,/api/mobile/v1/conversations/{conversationId}/archive,authenticated_user,none,approved mockup states for YL-M-046,contracts/feature-map.yaml,PLANNED
